Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global,count
City Market,No result,,,,,,,,,,,,,,,,,126
Nagarbhavi,Ok,"Naagarabhaavi, Bengaluru, Karnataka, India",12.9719321,77.512749,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,9
Bannerghatta Road,"2 found, use single geocode.","Bannerghatta Rd, Karnataka, India",12.7943684,77.6209533,route,GEOMETRIC_CENTER,,Bannerghatta Road,,,India,Karnataka,Bangalore Division,Bangalore Division,,,,1630
BTM,No result,,,,,,,,,,,,,,,,,5124
Kanakapura Road,Ok,"Kanakapura Rd, Karnataka, India",12.7452094,77.4879078,route,GEOMETRIC_CENTER,,Kanakapura Road,,,India,Karnataka,Bangalore Division,Bangalore Division,,,,19
Bommanahalli,Ok,"Bommanahalli, Bengaluru, Karnataka, India",12.9029804,77.6241936,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,238
CV Raman Nagar,Ok,"C V Raman Nagar, Bengaluru, Karnataka, India",12.9793254,77.6641841,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,90
Electronic City,Ok,"Electronic City, Bengaluru, Karnataka, India",12.8452145,77.6601695,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1258
HSR,No result,,,,,,,,,,,,,,,,,2523
Marathahalli,Ok,"Marathahalli, Bengaluru, Karnataka, India",12.956924,77.701127,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1846
Sarjapur Road,Ok,"Sarjapur Main Rd, Bengaluru, Karnataka, India",12.9109118,77.684418,route,GEOMETRIC_CENTER,,Sarjapur Main Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1065
Wilson Garden,Ok,"Wilson Garden, Bengaluru, Karnataka, India",12.9481933,77.5971865,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,246
Shanti Nagar,"3 found, use single geocode.","Shanti Nagar, Bengaluru, Karnataka, India",12.9577549,77.5992505,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,511
Koramangala 5th Block,Ok,"5th Block, Koramangala, Bengaluru, Karnataka, India",12.9352156,77.6199608,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,2504
Koramangala 8th Block,Ok,"Koramangala 8th Block, Koramangala, Bengaluru, Karnataka, India",12.9414686,77.6178125,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,320
Richmond Road,Ok,"Richmond Rd, Staten Island, NY, USA",40.5850682,-74.1063007,route,GEOMETRIC_CENTER,,Richmond Road,,,United States,New York,Richmond County,Richmond County,,,,812
Koramangala 7th Block,Ok,"7th Block, Koramangala, Bengaluru, Karnataka 560030, India",12.936285,77.6127996,"political, sublocality, sublocality_level_2",APPROXIMATE,,,560030,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1181
Jalahalli,Ok,"Jalahalli, Bengaluru, Karnataka, India",13.0454314,77.5478699,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,38
Koramangala 4th Block,"2 found, use single geocode.","Koramangala 4th Block, Koramangala, Bengaluru, Karnataka, India",12.9314583,77.6299858,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1017
Bellandur,Ok,"Bellandur, Bengaluru, Karnataka, India",12.9304278,77.678404,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1286
Whitefield,Ok,"Whitefield, Bengaluru, Karnataka, India",12.9698196,77.7499721,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,2144
East Bangalore,Ok,"Bengaluru, Karnataka, India",12.9715987,77.5945627,"locality, political",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,44
Old Airport Road,Ok,"Old Airport Rd, Singapore",1.3077047,103.8857949,route,GEOMETRIC_CENTER,,Old Airport Road,,Singapore,Singapore,,,,,,,446
Indiranagar,Ok,"Indiranagar, Bengaluru, Karnataka, India",12.9783692,77.6408356,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,2083
Koramangala 1st Block,Ok,"1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka, India",12.9265132,77.6361552,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1238
Frazer Town,Ok,"Pulikeshi Nagar, Bengaluru, Karnataka, India",12.9970483,77.6144076,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,727
RT Nagar,Ok,"RT Nagar, Bengaluru, Karnataka 560032, India",13.0247291,77.5947532,"political, sublocality, sublocality_level_1",APPROXIMATE,,,560032,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,80
MG Road,Ok,"Mahatma Gandhi Rd, Bengaluru, Karnataka, India",12.9747587,77.6093926,route,GEOMETRIC_CENTER,,Mahatma Gandhi Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,918
Brigade Road,Ok,"Brigade Rd, Bengaluru, Karnataka, India",12.9710328,77.6069305,route,GEOMETRIC_CENTER,,Brigade Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1218
Lavelle Road,Ok,"Lavelle Road, Bengaluru, Karnataka 560001, India",12.9713983,77.5979909,route,GEOMETRIC_CENTER,,Lavelle Road,560001,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,529
Church Street,No result,,,,,,,,,,,,,,,,,569
Ulsoor,Ok,"Halasuru, Bengaluru, Karnataka, India",12.9817001,77.6284152,"neighborhood, political",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1023
Residency Road,Ok,"Residency Rd, Ashok Nagar, Bengaluru, Karnataka, India",12.9714632,77.6061118,route,GEOMETRIC_CENTER,,Residency Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,675
Shivajinagar,Ok,"Shivaji Nagar, Bengaluru, Karnataka, India",12.9856503,77.6056927,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,499
Infantry Road,Ok,"Infantry Rd, Bengaluru, Karnataka, India",12.981842,77.5998185,route,GEOMETRIC_CENTER,,Infantry Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,151
St. Marks Road,"2 found, use single geocode.","St Mark's Rd, Bengaluru, Karnataka, India",12.9723125,77.6011502,route,GEOMETRIC_CENTER,,Saint Mark's Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,352
Cunningham Road,Ok,"Cunningham Rd, Bengaluru, Karnataka, India",12.9875315,77.594623,route,GEOMETRIC_CENTER,,Cunningham Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,491
Race Course Road,Ok,"Lok Kalyan Marg, New Delhi, Delhi, India",28.598276,77.202883,route,GEOMETRIC_CENTER,,Lok Kalyan Marg,,New Delhi,India,Delhi,Delhi Division,Delhi Division,,,,139
Commercial Street,No result,,,,,,,,,,,,,,,,,370
Vasanth Nagar,"2 found, use single geocode.","Vasanth Nagar, Bengaluru, Karnataka, India",12.9896194,77.5927948,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,295
HBR Layout,Ok,"HBR Layout, Bengaluru, Karnataka, India",13.0353236,77.6284701,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,153
Domlur,Ok,"Domlur, Bengaluru, Karnataka, India",12.9609857,77.6387316,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,496
Ejipura,Ok,"Ejipura, Bengaluru, Karnataka, India",12.9385333,77.6308174,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,439
Jeevan Bhima Nagar,Ok,"Jeevan Bima Nagar, Bengaluru, Karnataka, India",12.964163,77.658076,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,272
Old Madras Road,Ok,"Old Madras Rd, Bengaluru, Karnataka, India",12.9869362,77.6479827,route,GEOMETRIC_CENTER,,Old Madras Road,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,22
Malleshwaram,Ok,"Malleshwara, Bengaluru, Karnataka, India",13.0055113,77.5692358,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,725
Seshadripuram,Ok,"Seshadripuram, Bengaluru, Karnataka, India",12.9889055,77.574044,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,165
Kammanahalli,Ok,"Kammanahalli, Bengaluru, Karnataka, India",13.0159044,77.6378619,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,648
Koramangala 6th Block,Ok,"6th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.9381776,77.6228252,"political, sublocality, sublocality_level_2",APPROXIMATE,,,560095,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,1156
Majestic,No result,,,,,,,,,,,,,,,,,155
Langford Town,Ok,"Langford Town, Shanti Nagar, Bengaluru, Karnataka, India",12.9569911,77.6027732,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,27
Central Bangalore,Ok,"Bengaluru, Karnataka, India",12.9715987,77.5945627,"locality, political",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,8
Sanjay Nagar,Ok,"Sanjayanagara, Bengaluru, Karnataka, India",13.0369229,77.5785134,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,76
Brookefield,Ok,"Brookefield, Bengaluru, Karnataka, India",12.9654796,77.7184638,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Bengaluru,India,Karnataka,Bangalore Division,Bangalore Division,,,,658
